Presentation,Event,Date,Views,URL
"From Zero to Hero with Kafka Connect","Kafka Summit London 2019","2019-05-13 13:00:00",18823,https://noti.st/rmoff/QZ5nsS
"From Zero to Hero with Kafka Connect",JFuture,"2020-10-23 12:10:00",7394,https://noti.st/rmoff/ScGJTe
"From Zero to Hero with Kafka Connect","Berlin Buzzwords 2019","2019-06-17 06:00:00",6747,https://noti.st/rmoff/yE9NeV
"From Zero to Hero with Kafka Connect","LJC Virtual Meetup","2020-05-06 07:00:00",4727,https://noti.st/rmoff/DQkDj3
"Integrating Oracle and Kafka","ACEs @ Home","2020-06-15 08:00:00",4722,https://noti.st/rmoff/ixPL5r
"Kafka as a Platform: the Ecosystem from the Ground Up",GOTOpia,"2020-09-16 08:00:00",4160,https://noti.st/rmoff/8OCgKp
"🤖Building a Telegram bot with Apache Kafka and ksqlDB",DataEngBytes,"2020-08-20 08:00:00",4092,https://noti.st/rmoff/JG780y
"From Zero to Hero with Kafka Connect","Munich Kafka Meetup","2019-07-03 06:00:00",3915,https://noti.st/rmoff/rd1qmq
"No More Silos: Integrating Databases and Apache Kafka","Kafka Summit New York 2019","2019-04-02 12:00:00",3703,https://noti.st/rmoff/eGacLb
"Introduction to ksqlDB","Software Circus / Amsterdam Kafka Meetup","2020-02-25 07:00:00",3125,https://noti.st/rmoff/LjZAS7
"From Zero to Hero with Kafka Connect","Crunch Data Conference","2019-10-17 06:00:00",2629,https://noti.st/rmoff/Jcugyt
"From Zero to Hero with Kafka Connect","Voxxed Microservices","2019-10-21 06:00:00",2518,https://noti.st/rmoff/0DQPfm
"Apache Kafka and KSQL in Action : Let’s Build a Streaming Data Pipeline!","Devoxx UK","2019-05-08 07:00:00",2423,https://noti.st/rmoff/pZC6Za
"The Changing Face of ETL: Event-Driven Architectures for Data Engineers","Strata Data Conference, London","2019-04-30 07:00:00",2024,https://noti.st/rmoff/nw3OuA
"No More Silos: Integrating Databases and Apache Kafka","Berlin Buzzwords","2021-06-14 08:00:00",1954,https://noti.st/rmoff/JOZJms
"Introduction to ksqlDB","LJC Virtual Meetup","2020-05-13 16:00:00",1828,https://noti.st/rmoff/WKykIL
"🚂 On Track with Apache Kafka: Building a Streaming ETL solution with Rail Data","Devoxx UK","2021-11-01 08:00:00",1794,https://noti.st/rmoff/T6qpbP
"🚂 On Track with Apache Kafka: Building a Streaming ETL solution with Rail Data","Stuttgart Data Engineers Meetup","2019-07-10 06:00:00",1775,https://noti.st/rmoff/8Oruwt
"The Changing Face of ETL: Event-Driven Architectures for Data Engineers",Code.Talks,"2019-10-24 06:00:00",1578,https://noti.st/rmoff/A4pLsH
"The Changing Face of ETL: Event-Driven Architectures for Data Engineers","Øredev 2019","2019-11-05 07:00:00",1524,https://noti.st/rmoff/aCobV0
"Apache Kafka and ksqlDB in Action: Let’s Build a Streaming Data Pipeline!","Confluent VUG / Kafka TLV meetup","2020-07-06 08:00:00",1520,https://noti.st/rmoff/JS3Heu
"From Zero to Hero with Kafka Connect","Apache Kafka Meetup","2020-03-23 08:00:00",1480,https://noti.st/rmoff/Itynf7
"The Changing Face of ETL: Event-Driven Architectures for Data Engineers",OOP,"2020-02-03 07:00:00",1424,https://noti.st/rmoff/Jn6rgo
"No More Silos: Integrating Databases and Apache Kafka",ApacheCon,"2020-09-29 08:00:00",1406,https://noti.st/rmoff/bf5tqR
"Apache Kafka and KSQL in Action : Let’s Build a Streaming Data Pipeline!","Berlin Kafka Meetup","2018-07-24 18:00:00",1370,https://noti.st/rmoff/cjkboB
"Apache Kafka and ksqlDB in Action : Let’s Build a Streaming Data Pipeline!","LJC Virtual Meetup","2020-04-29 07:00:00",1354,https://noti.st/rmoff/TO0w3O
"🚂 On Track with Apache Kafka: Building a Streaming ETL solution with Rail Data","Øredev 2019","2019-11-05 07:00:00",1209,https://noti.st/rmoff/LZMzkC
"🚢 All at Sea with Streams - Using Kafka to Detect Patterns  in the Behaviour of Ships","Kafka Summit Americas","2021-09-14 08:00:00",1167,https://noti.st/rmoff/qrgjuz
"Streaming ETL in Practice with Oracle, Apache Kafka, and KSQL","KScope 19","2019-06-26 15:00:00",1122,https://noti.st/rmoff/WaOroJ
"Introduction to ksqlDB","Krakòw Apache Kafka meetup","2020-02-26 07:00:00",1119,https://noti.st/rmoff/NrxcrM
"From Zero to Hero with Kafka Connect","Confluent VUG","2020-07-08 08:00:00",1103,https://noti.st/rmoff/1MO6vK
"The Changing Face of ETL: Event-Driven Architectures for Data Engineers","Confluent VUG","2020-07-01 08:00:00",1103,https://noti.st/rmoff/ZPJzzF
"Kafka as a Platform: the Ecosystem from the Ground Up","NDC Oslo","2020-06-11 09:40:00",1100,https://noti.st/rmoff/MaxFXn
"No More Silos: Integrating Databases and Apache Kafka",Code.Talks,"2019-10-24 06:00:00",1041,https://noti.st/rmoff/gnw8Mf
"From Zero to Hero with Kafka Connect","Confluent VUG","2020-04-21 08:00:00",977,https://noti.st/rmoff/TtGgnD
"ETL 2.0: It’s not just for data engineers anymore","O’Reilly Software Architecture Conference","2019-11-04 07:00:00",929,https://noti.st/rmoff/cLD3uF
"Real-time SQL stream processing at scale with Apache Kafka and KSQL","Strata Data Conference, London","2019-04-30 07:00:00",928,https://noti.st/rmoff/3tK7EV
"🤖 Building a Telegram bot with Apache Kafka and ksqlDB","JCON 2021","2021-10-05 08:00:00",843,https://noti.st/rmoff/h7fFAR
"ATM Fraud Detection with Apache Kafka and KSQL","London Kafka Meetup","2019-04-29 07:00:00",841,https://noti.st/rmoff/Cw9hbI
"Kafka as a Platform: the Ecosystem from the Ground Up","Confluent VUG","2020-06-09 08:00:00",835,https://noti.st/rmoff/Q3AoWZ
"Apache Kafka and ksqlDB in Action : Let’s Build a Streaming Data Pipeline!","javaBin Online","2020-05-05 06:00:00",832,https://noti.st/rmoff/7q8CL2
"Apache Kafka and ksqlDB in Action: Let’s Build a Streaming Data Pipeline!","Big Data LDN","2020-09-22 09:00:00",822,https://noti.st/rmoff/tkl4a1
"Kafka as a Platform: the Ecosystem from the Ground Up",DevSum,"2021-05-25 08:00:00",807,https://noti.st/rmoff/tGa4A9
"🚂 On Track with Apache Kafka: Building a Streaming ETL solution with Rail Data","Sphere.IT 2019","2019-10-08 13:55:00",807,https://noti.st/rmoff/88N36y
"Kafka as a Platform: the Ecosystem from the Ground Up","Kafka Summit London 2022","2022-04-25 07:00:00",797,https://noti.st/rmoff/e7DT3S
"Apache Kafka and KSQL in Action : Let’s Build a Streaming Data Pipeline!","NDC Oslo","2019-06-17 06:00:00",794,https://noti.st/rmoff/KabTCZ
"The Joy of JARs (and Other Flink SQL Troubleshooting Tales)",Current,"2024-09-17 13:00:00",781,https://noti.st/rmoff/9GpIYA
"From Zero to Hero with Kafka Connect","Big Data Conference Europe","2020-11-24 08:00:00",768,https://noti.st/rmoff/ioHuht
"🐲 Here be Dragons^H^H Stacktraces — Flink SQL for Non-Java Developers","Kafka Summit 2024","2024-03-20 08:00:00",760,https://noti.st/rmoff/8VjuaU
"Apache Kafka and KSQL in Action : Let’s Build a Streaming Data Pipeline!","Seattle Event Driven Meetup","2019-06-25 15:00:00",675,https://noti.st/rmoff/7aIZ7B
"Apache Kafka and ksqlDB in Action: Let’s Build a Streaming Data Pipeline!","DataOps Poland","2020-08-04 08:00:00",648,https://noti.st/rmoff/7GJjPE
"From Zero to Hero with Kafka Connect","Data + AI Summit Europe","2020-11-17 09:00:00",639,https://noti.st/rmoff/VgbZAY
"From Zero to Hero with Kafka Connect","Berlin Kafka Meetup","2019-11-07 07:00:00",611,https://noti.st/rmoff/TINTXS
"🚂 On Track with Apache Kafka: Building a Streaming ETL solution with Rail Data","Apache Kafka Meetup","2021-01-26 08:00:00",595,https://noti.st/rmoff/h6aUqU
"Embrace the Anarchy : Apache Kafka's Role in Modern Data Architectures","Munich Microservices Meetup","2018-08-01 06:00:00",591,https://noti.st/rmoff/LSemuJ
"Apache Kafka and ksqlDB in Action: Let’s Build a Streaming Data Pipeline!",DataXDays,"2020-06-23 08:00:00",585,https://noti.st/rmoff/8m4zch
"I’m not a YouTuber; come and learn how you can not be one too","DevRel Meetup","2020-05-27 18:00:00",579,https://noti.st/rmoff/rgvKMl
"Building stream processing applications for Apache Kafka using KSQL","Vienna Kafka Meetup","2019-07-02 06:00:00",578,https://noti.st/rmoff/9ih1WQ
"Apache Kafka and ksqlDB in Action : Let’s Build a Streaming Data Pipeline!","London Apache Kafka Meetup","2020-03-04 08:00:00",576,https://noti.st/rmoff/5H2hNx
"Apache Kafka and ksqlDB in Action : Let’s Build a Streaming Data Pipeline!","QCon London","2020-03-05 13:00:00",568,https://noti.st/rmoff/JuUJ8l
"Kafka as a Platform: the Ecosystem from the Ground Up",GOTOpia,"2020-11-09 08:00:00",560,https://noti.st/rmoff/JZQj6r
"🤖Building a Telegram bot with Apache Kafka, Go, and ksqlDB",GOTOpia,"2020-11-09 08:00:00",546,https://noti.st/rmoff/hFhvES
"The Changing Face of ETL: Event-Driven Architectures for Data Engineers","Paris Apache Kafka Meetup","2019-03-19 07:00:00",541,https://noti.st/rmoff/said0W
"🤖Building a Telegram bot with Apache Kafka and ksqlDB","NDC Sydney","2020-10-14 22:00:00",539,https://noti.st/rmoff/Dyohiq
"🤖 Building a Telegram bot with Apache Kafka, Go, and ksqlDB","Blueprint LDN","2021-03-10 08:00:00",528,https://noti.st/rmoff/AIv0A7
"Apache Kafka and ksqlDB in Action: Let’s Build a Streaming Data Pipeline!","Kafka Summit 2020","2020-08-25 15:00:00",527,https://noti.st/rmoff/xiEOIc
"🤖 Building a Telegram bot with Apache Kafka, Go, and ksqlDB","NDC London 2021","2021-01-25 08:00:00",519,https://noti.st/rmoff/UbXLUv
"🚂 On Track with Apache Kafka: Building a Streaming ETL solution with Rail Data","Leeds Kafka Meetup","2019-09-11 07:00:00",507,https://noti.st/rmoff/qjtml9
"🚂 On Track with Apache Kafka: Building a Streaming ETL solution with Rail Data","Kafka Summit Europe 2021","2021-05-11 08:00:00",506,https://noti.st/rmoff/6GsyFX
"Building stream processing applications for Apache Kafka using KSQL","Kafka Summit San Francisco 2019","2019-10-01 23:55:00",498,https://noti.st/rmoff/5BPEs1
"From Zero to Hero with Kafka Connect","BruJUG / Apache Kafka meetup","2020-02-24 08:00:00",484,https://noti.st/rmoff/UmOkou
"No More Silos: Integrating Databases and Apache Kafka","UKOUG 2018","2018-12-03 08:00:00",478,https://noti.st/rmoff/TK7STT
"Building stream processing applications for Apache Kafka using KSQL",BigDataLDN,"2019-11-13 08:00:00",458,https://noti.st/rmoff/O153FK
"The Changing Face of ETL: Event-Driven Architectures for Data Engineers","KScope 19","2019-06-24 18:00:00",447,https://noti.st/rmoff/s8HbWf
"Apache Kafka and ksqlDB in Action: Let’s Build a Streaming Data Pipeline!","All Things Open","2020-10-20 19:30:00",424,https://noti.st/rmoff/qIXVbF
"Apache Kafka and ksqlDB in Action: Let’s Build a Streaming Data Pipeline!","Apache Kafka meetup","2021-06-24 08:00:00",420,https://noti.st/rmoff/3RIbSX
"No More Silos: Integrating Databases and Apache Kafka","KScope 19","2019-06-25 15:00:00",417,https://noti.st/rmoff/a2cQn5
"Kafka as a Platform: the Ecosystem from the Ground Up",ApacheCon,"2021-09-21 00:00:00",411,https://noti.st/rmoff/QXlKeK
"🤖Building a Telegram bot with Apache Kafka and ksqlDB","Big Mountain Data and Dev Conference","2020-10-22 08:00:00",404,https://noti.st/rmoff/QbFIWM
"🚂 On Track with Apache Kafka: Building a Streaming ETL solution with Rail Data","Kafka Summit APAC","2021-07-27 08:00:00",365,https://noti.st/rmoff/A9nZm9
"From Zero to Hero with Kafka Connect","Oslo Apache Kafka Meetup","2019-06-18 06:00:00",359,https://noti.st/rmoff/TdR3ZM
"Building stream processing applications for Apache Kafka using KSQL","Rome Kafka Meetup","2019-09-16 06:00:00",358,https://noti.st/rmoff/2jhBMt
"Apache Kafka and KSQL in Action : Let’s Build a Streaming Data Pipeline!","LISA 18","2018-10-29 13:00:00",349,https://noti.st/rmoff/5dqGLs
"ATM Fraud detection with Kafka and KSQL","IT Tage","2018-12-10 07:00:00",342,https://noti.st/rmoff/ZznhX7
"Kafka as a Platform: the Ecosystem from the Ground Up","JCON 2021","2021-10-05 08:00:00",337,https://noti.st/rmoff/AOYSg3
"🤖Building a Telegram bot with Apache Kafka, Go, and ksqlDB","Devoxx Ukraine","2020-11-06 13:00:00",336,https://noti.st/rmoff/tMslI9
"Kafka as a Platform: the Ecosystem from the Ground Up","Big Data Conference Europe","2020-11-24 08:00:00",326,https://noti.st/rmoff/4vz7M3
"🚂 On Track with Apache Kafka: Building a Streaming ETL solution with Rail Data","Confluent Online Talk","2019-12-09 08:00:00",320,https://noti.st/rmoff/xVDUKj
"🚂 On Track with Apache Kafka: Building a Streaming ETL solution with Rail Data","Frankfurt Kafka Meetup","2019-09-18 06:00:00",318,https://noti.st/rmoff/SYMptj
"Apache Kafka and ksqlDB in Action: Let’s Build a Streaming Data Pipeline!","DevOps Pro Europe","2021-05-12 08:00:00",310,https://noti.st/rmoff/ZXmBl9
"Kafka as a Platform: the Ecosystem from the Ground Up","Budapest Data Forum","2020-09-23 06:00:00",308,https://noti.st/rmoff/W4TsSQ
"🚂 On Track with Apache Kafka: Building a Streaming ETL solution with Rail Data","Apache Kafka Meetup","2021-03-22 08:00:00",295,https://noti.st/rmoff/51cZrz
"QCon Workshop: Apache Kafka and KSQL in Action : Let’s Build a Streaming Data Pipeline!","QCon London","2019-03-07 08:00:00",294,https://noti.st/rmoff/xg4tei
"Building stream processing applications for Apache Kafka using KSQL","Dortmund Kafka Meetup","2019-09-17 06:00:00",286,https://noti.st/rmoff/8KJCku
"The Changing Face of ETL: Event-Driven Architectures for Data Engineers","Big Data Tech Warsaw","2019-02-27 07:00:00",274,https://noti.st/rmoff/GGzp87
"Kafka as a Platform: the Ecosystem from the Ground Up","London Microservices Meetup","2021-03-17 08:00:00",251,https://noti.st/rmoff/VLXz8e
"Building stream processing applications for Apache Kafka using KSQL","Copenhagen Kafka Meetup","2019-11-06 07:00:00",234,https://noti.st/rmoff/3Thp0c
